"filename", "language", "PHP", "MS SQL", "XML", "JavaScript", "Markdown", "CSS", "JSON", "YAML", "HTML", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosExperiencia\NueveExperiencia.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 63
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosExperiencia\NueveExperiencia2.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 63
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosFavoritos\EliminarFavoritos2.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosFavoritos\ElimnarFavorito.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosFavoritos\MostrarFavoritosOferta.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosFavoritos\agregarFavoritos.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosHabilidades\EliminarHabilidad.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosHabilidades\EliminarHabilidad2.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosHabilidades\NuevaHabilidad.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosHabilidades\NuevaHabilidad2.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosIdiomas\EliminarIdioma.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosIdiomas\EliminarIdioma2.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosIdiomas\NuevoIdioma.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosIdiomas\NuevoIdioma2.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 42
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosImagenes\CambiarImagenPerfil.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 34, 113
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosImagenes\eliminarFotoPerfil.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPaises\ModelosBuscarDepartamentos.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 57
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\ActualizarPerfil.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 109
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\ActualizarPerfil2.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28, 108
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\Cambiar_estado_perfil.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\NuevoPerfil.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 103
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\actualizar-password.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 45
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\actualizar_cuenta.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 45
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPerfil\eliminarPerfil.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 45
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPostularse\AgregarPostulacionTrabajo.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
